ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice
2043,1043,Dec-43,Swim Caps,X 470,Swim Caps designed for sports and outdoor activities.,Grey,M,Sport,474.52,739.66
2044,1044,Dec-44,Kickboards,Pro 221,Kickboards designed for sports and outdoor activities.,Blue,M,Pro,141.85,211.14
2045,1045,Dec-45,Swimming Fins,X 241,Swimming Fins designed for sports and outdoor activities.,Green,44,Pro,442.99,599.26
2046,1046,Dec-46,Camping Chairs,Plus 134,Camping Chairs designed for sports and outdoor activities.,White,L,Elite,463.36,647.24
2047,1047,Dec-47,Camping Lanterns,X 426,Camping Lanterns designed for sports and outdoor activities.,Grey,One Size,Elite,10.55,19.15
2048,1048,Dec-48,Cooler Boxes,Plus 327,Cooler Boxes designed for sports and outdoor activities.,Grey,40,Standard,350.94,638.41
2049,1049,Dec-49,Camping Cooking Sets,Active 578,Camping Cooking Sets designed for sports and outdoor activities.,Orange,XL,Sport,170.41,264.71
2050,1050,Dec-50,Hiking Backpacks,Elite 388,Hiking Backpacks designed for sports and outdoor activities.,Red,38,Elite,56.65,111.82
2051,1051,Dec-51,Yoga Blocks,Active 518,Yoga Blocks designed for sports and outdoor activities.,Blue,L,Sport,181.39,331.5
2052,1052,Dec-52,Yoga Straps,Pro 748,Yoga Straps designed for sports and outdoor activities.,Grey,XL,Elite,463.07,905.43
2053,1053,Dec-53,Meditation Cushions,Pro 314,Meditation Cushions designed for sports and outdoor activities.,Blue,XL,Pro,434.94,843.62
2054,1054,Dec-54,Foam Rollers,Core 769,Foam Rollers designed for sports and outdoor activities.,Grey,38,Elite,309.58,529.99
2055,1055,Dec-55,Weight Plates,Active 890,Weight Plates designed for sports and outdoor activities.,Grey,L,Sport,249.73,490.21
2056,1056,Dec-56,Barbells,Elite 786,Barbells designed for sports and outdoor activities.,Navy,XS,Standard,491.93,853.84
2057,1057,Dec-57,Weight Benches,Active 228,Weight Benches designed for sports and outdoor activities.,Orange,S,Elite,169.65,234.69
2058,1058,Dec-58,Pull-up Bars,Plus 104,Pull-up Bars designed for sports and outdoor activities.,Black,44,Standard,262.34,444.54
2059,1059,Dec-59,Medicine Balls,Elite 890,Medicine Balls designed for sports and outdoor activities.,Navy,40,Sport,382.47,580.1
2060,1060,Dec-60,Basketball Shoes,Plus 383,Basketball Shoes designed for sports and outdoor activities.,Orange,XL,Pro,25.67,37.71
2061,1061,Dec-61,Basketballs,Core 119,Basketballs designed for sports and outdoor activities.,Red,XS,Elite,470.89,788.76
2062,1062,Dec-62,Basketball Hoops,Elite 864,Basketball Hoops designed for sports and outdoor activities.,Grey,S,Standard,471.04,874.53
2063,1063,Dec-63,Compression Wear,Pro 118,Compression Wear designed for sports and outdoor activities.,Navy,M,Pro,490.72,703.52
2064,1064,Dec-64,Basketball Training Equipment,Core 383,Basketball Training Equipment designed for sports and outdoor activities.,Black,42,Elite,414.45,599.57
2065,1065,Dec-65,Table Tennis Bats,Core 223,Table Tennis Bats designed for sports and outdoor activities.,Orange,S,Premium,153.3,248.26
2066,1066,Dec-66,Table Tennis Balls,Active 639,Table Tennis Balls designed for sports and outdoor activities.,Green,38,Pro,96.17,177.13
2067,1067,Dec-67,Table Tennis Tables,Plus 260,Table Tennis Tables designed for sports and outdoor activities.,Red,38,Sport,13.84,26.86
2068,1068,Dec-68,Table Tennis Nets,Plus 181,Table Tennis Nets designed for sports and outdoor activities.,White,40,Sport,198.46,383.02
2069,1069,Dec-69,Table Tennis Covers,Core 392,Table Tennis Covers designed for sports and outdoor activities.,Red,XL,Sport,74.51,114.55
2070,1070,Dec-70,Frisbees,X 479,Frisbees designed for sports and outdoor activities.,Navy,XS,Elite,375.01,497.91
2071,1071,Dec-71,Skipping Ropes,X 381,Skipping Ropes designed for sports and outdoor activities.,Black,38,Standard,494.02,689.25
2072,1072,Dec-72,Binoculars,Core 408,Binoculars designed for sports and outdoor activities.,Black,M,Premium,393.84,702.52
2073,1073,Dec-73,Water Bottles,Pro 535,Water Bottles designed for sports and outdoor activities.,White,S,Pro,184.84,256.7
2074,1074,Dec-74,Headlamps,Pro 443,Headlamps designed for sports and outdoor activities.,Red,38,Standard,87.04,146.68
2075,1075,Dec-75,Ski Jackets,Plus 861,Ski Jackets designed for sports and outdoor activities.,Blue,44,Sport,261.14,389.23
2076,1076,Dec-76,Ski Pants,Elite 101,Ski Pants designed for sports and outdoor activities.,Red,42,Premium,40.03,79.12
2077,1077,Dec-77,Ski Gloves,Active 326,Ski Gloves designed for sports and outdoor activities.,Navy,40,Pro,441.28,806.8
2078,1078,Dec-78,Snow Boots,Elite 337,Snow Boots designed for sports and outdoor activities.,Red,L,Sport,365.09,522.28
2079,1079,Dec-79,Thermal Wear,Plus 822,Thermal Wear designed for sports and outdoor activities.,Red,M,Standard,279.06,410.34
2080,1001,Dec-80,Running Shoes,Pro 710,Running Shoes designed for sports and outdoor activities.,Black,40,Pro,15.25,23.56
2081,1002,Dec-81,Running Apparel,Core 328,Running Apparel designed for sports and outdoor activities.,White,XS,Pro,481.43,728.58
2082,1003,Dec-82,Hydration Packs,Plus 770,Hydration Packs designed for sports and outdoor activities.,Navy,XS,Sport,86.84,134.82
2083,1004,Dec-83,GPS Watches,Core 162,GPS Watches designed for sports and outdoor activities.,Black,38,Pro,336.61,498.35
2084,1005,Dec-84,Running Socks,Active 581,Running Socks designed for sports and outdoor activities.,Black,40,Standard,258.42,477.87
2085,1006,Dec-85,Hiking Shoes,X 546,Hiking Shoes designed for sports and outdoor activities.,Navy,M,Elite,294.21,406.26
2086,1007,Dec-86,Trekking Backpacks,Active 844,Trekking Backpacks designed for sports and outdoor activities.,Green,44,Sport,395.38,700.2
2087,1008,Dec-87,Trekking Poles,Elite 823,Trekking Poles designed for sports and outdoor activities.,Red,42,Sport,8.12,14.15
2088,1009,Dec-88,Camping Tents,Plus 358,Camping Tents designed for sports and outdoor activities.,Navy,One Size,Elite,112.52,177.71
2089,1010,Dec-89,Sleeping Bags,Pro 243,Sleeping Bags designed for sports and outdoor activities.,Green,L,Premium,209.44,305.34
2090,1011,Dec-90,Mountain Bikes,Elite 643,Mountain Bikes designed for sports and outdoor activities.,Green,42,Standard,325.29,556.22
2091,1012,Dec-91,Road Bikes,Plus 595,Road Bikes designed for sports and outdoor activities.,Black,S,Elite,49.06,97.37
2092,1013,Dec-92,Cycling Helmets,Pro 408,Cycling Helmets designed for sports and outdoor activities.,Green,XS,Elite,465.42,668.25
2093,1014,Dec-93,Cycling Jerseys,Active 578,Cycling Jerseys designed for sports and outdoor activities.,Navy,M,Standard,273.13,527.25
2094,1015,Dec-94,Bike Accessories,X 295,Bike Accessories designed for sports and outdoor activities.,White,38,Elite,100.23,191.33
2095,1016,Dec-95,Dumbbells,Core 618,Dumbbells designed for sports and outdoor activities.,White,One Size,Sport,368.59,510.34
2096,1017,Dec-96,Resistance Bands,Core 834,Resistance Bands designed for sports and outdoor activities.,Navy,40,Elite,58.66,97.49
2097,1018,Dec-97,Yoga Mats,Plus 782,Yoga Mats designed for sports and outdoor activities.,Navy,44,Standard,49.97,97.51
2098,1019,Dec-98,Kettlebells,Elite 300,Kettlebells designed for sports and outdoor activities.,Navy,XL,Elite,31.4,50.49
2099,1020,Dec-99,Exercise Bikes,X 806,Exercise Bikes designed for sports and outdoor activities.,Orange,M,Standard,217.33,291.81
2100,1021,Dec-00,Football Boots,X 418,Football Boots designed for sports and outdoor activities.,Orange,S,Standard,231.07,416.49
2101,1022,Dec-01,Footballs,Active 210,Footballs designed for sports and outdoor activities.,Green,One Size,Elite,148.44,261.13
2102,1023,Dec-02,Goalkeeper Gloves,Pro 125,Goalkeeper Gloves designed for sports and outdoor activities.,Blue,40,Sport,271.16,514.99
2103,1024,Dec-03,Shin Guards,X 682,Shin Guards designed for sports and outdoor activities.,Green,One Size,Pro,148.05,289.04
2104,1025,Dec-04,Training Cones,Elite 251,Training Cones designed for sports and outdoor activities.,Black,L,Elite,385.55,766.6
2105,1026,Dec-05,Cricket Bats,Plus 124,Cricket Bats designed for sports and outdoor activities.,Black,44,Elite,427.24,567.39
2106,1027,Dec-06,Cricket Balls,X 225,Cricket Balls designed for sports and outdoor activities.,Black,40,Standard,472.43,742.82
2107,1028,Dec-07,Batting Gloves,Active 842,Batting Gloves designed for sports and outdoor activities.,Blue,L,Sport,208.81,338.79
2108,1029,Dec-08,Batting Pads,X 429,Batting Pads designed for sports and outdoor activities.,Grey,42,Pro,323.41,537.09
2109,1030,Dec-09,Cricket Helmets,X 641,Cricket Helmets designed for sports and outdoor activities.,Navy,40,Premium,171.54,327.05
2110,1031,Dec-10,Badminton Rackets,Elite 757,Badminton Rackets designed for sports and outdoor activities.,Red,XL,Elite,91.13,130.22
2111,1032,Dec-11,Shuttlecocks,Pro 573,Shuttlecocks designed for sports and outdoor activities.,Grey,42,Elite,444.61,608.06
2112,1033,Dec-12,Grip Tapes,X 251,Grip Tapes designed for sports and outdoor activities.,Navy,40,Sport,164.42,282.77
2113,1034,Dec-13,Badminton Shoes,Plus 355,Badminton Shoes designed for sports and outdoor activities.,Navy,XL,Standard,233.1,462.96
2114,1035,Dec-14,Badminton Net Sets,Active 304,Badminton Net Sets designed for sports and outdoor activities.,Red,40,Premium,380.98,604.56
2115,1036,Dec-15,Tennis Rackets,Plus 690,Tennis Rackets designed for sports and outdoor activities.,Red,42,Standard,119.29,181.86
2116,1037,Dec-16,Tennis Balls,Pro 793,Tennis Balls designed for sports and outdoor activities.,Orange,One Size,Elite,30.57,60.94
2117,1038,Dec-17,Tennis Shoes,Active 208,Tennis Shoes designed for sports and outdoor activities.,Red,42,Elite,24.09,46.45
2118,1039,Dec-18,Tennis Bags,Active 404,Tennis Bags designed for sports and outdoor activities.,Blue,S,Pro,470.1,928.12
2119,1040,Dec-19,Tennis Strings,Core 575,Tennis Strings designed for sports and outdoor activities.,Black,M,Sport,164.95,281.99
2120,1041,Dec-20,Swimwear,Core 734,Swimwear designed for sports and outdoor activities.,White,M,Elite,496.16,687.3
2121,1042,Dec-21,Swimming Goggles,X 799,Swimming Goggles designed for sports and outdoor activities.,Orange,M,Premium,173.45,294.63
2122,1043,Dec-22,Swim Caps,X 854,Swim Caps designed for sports and outdoor activities.,Navy,L,Premium,57.42,92.77
2123,1044,Dec-23,Kickboards,X 627,Kickboards designed for sports and outdoor activities.,White,One Size,Elite,48.68,81.06
2124,1045,Dec-24,Swimming Fins,Elite 827,Swimming Fins designed for sports and outdoor activities.,White,38,Sport,260.8,390.98
2125,1046,Dec-25,Camping Chairs,Elite 614,Camping Chairs designed for sports and outdoor activities.,Navy,38,Standard,107.08,188.28
2126,1047,Dec-26,Camping Lanterns,Plus 757,Camping Lanterns designed for sports and outdoor activities.,Orange,38,Sport,278.49,387.88
2127,1048,Dec-27,Cooler Boxes,Active 183,Cooler Boxes designed for sports and outdoor activities.,White,XS,Sport,336.22,603.22
2128,1049,Dec-28,Camping Cooking Sets,X 205,Camping Cooking Sets designed for sports and outdoor activities.,Blue,XL,Elite,183.14,326.79
2129,1050,Dec-29,Hiking Backpacks,Core 214,Hiking Backpacks designed for sports and outdoor activities.,Red,M,Sport,466.41,907.05
2130,1051,Dec-30,Yoga Blocks,Elite 877,Yoga Blocks designed for sports and outdoor activities.,Blue,42,Premium,382.81,551.12
2131,1052,Dec-31,Yoga Straps,Plus 886,Yoga Straps designed for sports and outdoor activities.,Black,42,Premium,302,394.86
2132,1053,Dec-32,Meditation Cushions,Elite 194,Meditation Cushions designed for sports and outdoor activities.,Black,XL,Premium,183.32,342.56
2133,1054,Dec-33,Foam Rollers,Core 832,Foam Rollers designed for sports and outdoor activities.,Red,44,Standard,239.71,466.5
2134,1055,Dec-34,Weight Plates,Plus 778,Weight Plates designed for sports and outdoor activities.,Green,44,Sport,311.9,499.75
2135,1056,Dec-35,Barbells,Pro 507,Barbells designed for sports and outdoor activities.,Navy,42,Standard,356.58,592.32
2136,1057,Dec-36,Weight Benches,Active 855,Weight Benches designed for sports and outdoor activities.,Navy,One Size,Standard,381.03,712.09
2137,1058,Dec-37,Pull-up Bars,Elite 863,Pull-up Bars designed for sports and outdoor activities.,Orange,L,Premium,451.79,819.08
2138,1059,Dec-38,Medicine Balls,Elite 754,Medicine Balls designed for sports and outdoor activities.,Black,40,Sport,375.19,521.16
2139,1060,Dec-39,Basketball Shoes,Elite 585,Basketball Shoes designed for sports and outdoor activities.,Grey,40,Elite,498.94,658.72
2140,1061,Dec-40,Basketballs,X 306,Basketballs designed for sports and outdoor activities.,Orange,40,Sport,389.89,601.85
2141,1062,Dec-41,Basketball Hoops,Elite 508,Basketball Hoops designed for sports and outdoor activities.,Green,XS,Premium,311.21,500.86
2142,1063,Dec-42,Compression Wear,Pro 391,Compression Wear designed for sports and outdoor activities.,Orange,38,Sport,51.92,81.9
2143,1064,Dec-43,Basketball Training Equipment,X 823,Basketball Training Equipment designed for sports and outdoor activities.,Grey,S,Sport,222.04,353.37
2144,1065,Dec-44,Table Tennis Bats,X 308,Table Tennis Bats designed for sports and outdoor activities.,Red,42,Standard,417.95,576.47
2145,1066,Dec-45,Table Tennis Balls,Elite 785,Table Tennis Balls designed for sports and outdoor activities.,Grey,One Size,Standard,209.08,294.43
2146,1067,Dec-46,Table Tennis Tables,Pro 390,Table Tennis Tables designed for sports and outdoor activities.,Orange,XS,Pro,54.99,100.96
2147,1068,Dec-47,Table Tennis Nets,Plus 555,Table Tennis Nets designed for sports and outdoor activities.,White,M,Elite,409.82,643.46
2148,1069,Dec-48,Table Tennis Covers,Active 350,Table Tennis Covers designed for sports and outdoor activities.,Blue,42,Sport,128.67,212.35
2149,1070,Dec-49,Frisbees,Pro 432,Frisbees designed for sports and outdoor activities.,Black,S,Premium,27.51,49.18
2150,1071,Dec-50,Skipping Ropes,Plus 634,Skipping Ropes designed for sports and outdoor activities.,Green,M,Pro,157.27,311.17
2151,1072,Dec-51,Binoculars,Active 387,Binoculars designed for sports and outdoor activities.,Red,L,Elite,349.28,466.72
2152,1073,Dec-52,Water Bottles,Plus 872,Water Bottles designed for sports and outdoor activities.,Grey,XS,Elite,343.32,664.56
2153,1074,Dec-53,Headlamps,X 168,Headlamps designed for sports and outdoor activities.,Orange,M,Standard,496.72,768.09
2154,1075,Dec-54,Ski Jackets,X 826,Ski Jackets designed for sports and outdoor activities.,Grey,XL,Sport,195.98,364.28
2155,1076,Dec-55,Ski Pants,Pro 328,Ski Pants designed for sports and outdoor activities.,Navy,S,Sport,353.05,522.33
2156,1077,Dec-56,Ski Gloves,Plus 666,Ski Gloves designed for sports and outdoor activities.,Navy,44,Standard,405.5,543.44
2157,1078,Dec-57,Snow Boots,Active 451,Snow Boots designed for sports and outdoor activities.,Grey,42,Pro,478.84,685.14
2158,1079,Dec-58,Thermal Wear,X 624,Thermal Wear designed for sports and outdoor activities.,Navy,38,Pro,37.54,53.44
2159,1001,Dec-59,Running Shoes,Core 283,Running Shoes designed for sports and outdoor activities.,Orange,40,Standard,337.5,556.82
2160,1002,Dec-60,Running Apparel,Elite 763,Running Apparel designed for sports and outdoor activities.,Orange,XL,Premium,142.52,203.39
2161,1003,Dec-61,Hydration Packs,X 348,Hydration Packs designed for sports and outdoor activities.,Red,44,Pro,250.86,387.36
2162,1004,Dec-62,GPS Watches,Core 208,GPS Watches designed for sports and outdoor activities.,Grey,XS,Pro,133.87,190.37
2163,1005,Dec-63,Running Socks,Core 558,Running Socks designed for sports and outdoor activities.,Navy,S,Elite,74.39,141.32
2164,1006,Dec-64,Hiking Shoes,Plus 294,Hiking Shoes designed for sports and outdoor activities.,Navy,44,Standard,495.09,665.16
2165,1007,Dec-65,Trekking Backpacks,Core 570,Trekking Backpacks designed for sports and outdoor activities.,Orange,38,Standard,64.86,88.53
2166,1008,Dec-66,Trekking Poles,Core 222,Trekking Poles designed for sports and outdoor activities.,Red,XS,Standard,339.51,478.34
2167,1009,Dec-67,Camping Tents,Elite 761,Camping Tents designed for sports and outdoor activities.,White,L,Sport,443.81,661.55
2168,1010,Dec-68,Sleeping Bags,Pro 732,Sleeping Bags designed for sports and outdoor activities.,Blue,XS,Pro,349.93,597.09
2169,1011,Dec-69,Mountain Bikes,Active 654,Mountain Bikes designed for sports and outdoor activities.,Red,L,Sport,235.51,454.4
2170,1012,Dec-70,Road Bikes,X 833,Road Bikes designed for sports and outdoor activities.,Orange,40,Sport,67.08,98.25
2171,1013,Dec-71,Cycling Helmets,Core 353,Cycling Helmets designed for sports and outdoor activities.,Green,38,Premium,428.6,565.19
2172,1014,Dec-72,Cycling Jerseys,X 767,Cycling Jerseys designed for sports and outdoor activities.,White,44,Sport,446.24,646.7
2173,1015,Dec-73,Bike Accessories,Plus 354,Bike Accessories designed for sports and outdoor activities.,Black,S,Pro,377.11,530.73
2174,1016,Dec-74,Dumbbells,Plus 489,Dumbbells designed for sports and outdoor activities.,Grey,40,Elite,73.47,128.95
2175,1017,Dec-75,Resistance Bands,X 132,Resistance Bands designed for sports and outdoor activities.,Green,XL,Elite,450.14,898.31
2176,1018,Dec-76,Yoga Mats,Plus 881,Yoga Mats designed for sports and outdoor activities.,Green,S,Premium,378.67,518.57
2177,1019,Dec-77,Kettlebells,X 661,Kettlebells designed for sports and outdoor activities.,White,38,Standard,160.79,260.57
2178,1020,Dec-78,Exercise Bikes,Plus 559,Exercise Bikes designed for sports and outdoor activities.,Grey,S,Elite,403.82,595.73
2179,1021,Dec-79,Football Boots,X 581,Football Boots designed for sports and outdoor activities.,Navy,One Size,Premium,248.44,486.98
2180,1022,Dec-80,Footballs,Plus 257,Footballs designed for sports and outdoor activities.,Green,38,Premium,345.77,480.78
2181,1023,Dec-81,Goalkeeper Gloves,Plus 173,Goalkeeper Gloves designed for sports and outdoor activities.,Black,One Size,Standard,297.86,533.99
2182,1024,Dec-82,Shin Guards,Active 439,Shin Guards designed for sports and outdoor activities.,Grey,L,Standard,460.62,605.63
2183,1025,Dec-83,Training Cones,Elite 730,Training Cones designed for sports and outdoor activities.,White,42,Elite,416.55,668.08
2184,1026,Dec-84,Cricket Bats,Elite 284,Cricket Bats designed for sports and outdoor activities.,Red,L,Pro,309.78,422.25
2185,1027,Dec-85,Cricket Balls,Elite 423,Cricket Balls designed for sports and outdoor activities.,Green,L,Premium,495.88,805.54
2186,1028,Dec-86,Batting Gloves,Core 176,Batting Gloves designed for sports and outdoor activities.,Navy,XL,Elite,9.93,14.85
2187,1029,Dec-87,Batting Pads,Elite 398,Batting Pads designed for sports and outdoor activities.,Red,One Size,Sport,167.66,262.51
2188,1030,Dec-88,Cricket Helmets,Active 481,Cricket Helmets designed for sports and outdoor activities.,White,XS,Sport,54.41,107.36
2189,1031,Dec-89,Badminton Rackets,Pro 232,Badminton Rackets designed for sports and outdoor activities.,Orange,44,Elite,219.54,314.31
2190,1032,Dec-90,Shuttlecocks,Active 874,Shuttlecocks designed for sports and outdoor activities.,White,38,Sport,463.69,690.13
2191,1033,Dec-91,Grip Tapes,X 330,Grip Tapes designed for sports and outdoor activities.,Green,L,Sport,321.24,620.19
2192,1034,Dec-92,Badminton Shoes,Active 290,Badminton Shoes designed for sports and outdoor activities.,Red,XS,Standard,291.82,487.66
2193,1035,Dec-93,Badminton Net Sets,X 106,Badminton Net Sets designed for sports and outdoor activities.,Red,XS,Elite,76.93,100.76
2194,1036,Dec-94,Tennis Rackets,Plus 261,Tennis Rackets designed for sports and outdoor activities.,Grey,40,Elite,75.34,126.89
2195,1037,Dec-95,Tennis Balls,Plus 186,Tennis Balls designed for sports and outdoor activities.,Black,XL,Standard,93.44,131.64
2196,1038,Dec-96,Tennis Shoes,Core 531,Tennis Shoes designed for sports and outdoor activities.,Navy,38,Pro,355.15,644.54
2197,1039,Dec-97,Tennis Bags,Active 602,Tennis Bags designed for sports and outdoor activities.,Green,S,Premium,255.55,396.79
2198,1040,Dec-98,Tennis Strings,Elite 679,Tennis Strings designed for sports and outdoor activities.,Red,S,Premium,56.06,93.58
2199,1041,Dec-99,Swimwear,Pro 796,Swimwear designed for sports and outdoor activities.,Grey,XS,Pro,198.87,344.82
2200,1042,Dec-00,Swimming Goggles,Active 436,Swimming Goggles designed for sports and outdoor activities.,White,L,Premium,341.99,513.02
2201,1043,Dec-01,Swim Caps,Active 226,Swim Caps designed for sports and outdoor activities.,Blue,S,Sport,189.24,252.13
2202,1044,Dec-02,Kickboards,Active 774,Kickboards designed for sports and outdoor activities.,Orange,L,Premium,51.03,88.13
2203,1045,Dec-03,Swimming Fins,X 639,Swimming Fins designed for sports and outdoor activities.,Red,L,Standard,242.64,392.42
2204,1046,Dec-04,Camping Chairs,Active 469,Camping Chairs designed for sports and outdoor activities.,Black,M,Standard,57.34,105.11
2205,1047,Dec-05,Camping Lanterns,X 240,Camping Lanterns designed for sports and outdoor activities.,Grey,XL,Premium,213.42,373.53
2206,1048,Dec-06,Cooler Boxes,Plus 274,Cooler Boxes designed for sports and outdoor activities.,White,44,Elite,405.42,790.46
2207,1049,Dec-07,Camping Cooking Sets,Active 570,Camping Cooking Sets designed for sports and outdoor activities.,Orange,M,Standard,226.19,317.4
2208,1050,Dec-08,Hiking Backpacks,X 778,Hiking Backpacks designed for sports and outdoor activities.,Grey,M,Sport,431.13,597.13
2209,1051,Dec-09,Yoga Blocks,Elite 133,Yoga Blocks designed for sports and outdoor activities.,Green,S,Premium,124.61,204.06
2210,1052,Dec-10,Yoga Straps,Elite 326,Yoga Straps designed for sports and outdoor activities.,Orange,One Size,Pro,48.19,87.02
2211,1053,Dec-11,Meditation Cushions,Elite 789,Meditation Cushions designed for sports and outdoor activities.,Red,38,Sport,162.63,305.56
2212,1054,Dec-12,Foam Rollers,Plus 454,Foam Rollers designed for sports and outdoor activities.,Grey,One Size,Premium,415.01,576.44
2213,1055,Dec-13,Weight Plates,X 134,Weight Plates designed for sports and outdoor activities.,Navy,L,Standard,6.33,8.59
2214,1056,Dec-14,Barbells,X 655,Barbells designed for sports and outdoor activities.,Red,L,Standard,493.35,663.54
2215,1057,Dec-15,Weight Benches,Active 524,Weight Benches designed for sports and outdoor activities.,Orange,40,Premium,262.7,347.37
